,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
29,0.0038996219635009767,0.0004823061926232723,0.0021819591522216795,0.00012176113163903206,0.1,2,0.01,rbf,"{'C': 0.1, 'degree': 2, 'gamma': 0.01, 'kernel': 'rbf'}",0.8125,0.7625,0.7375,0.75,0.85,0.7825,0.042278836313219395,24,0.7875,0.778125,0.828125,0.8,0.759375,0.7906249999999999,0.0229639663385923
30,0.0035872459411621094,0.0002888024389033957,0.0014935016632080078,7.521588886568676e-05,0.1,2,0.01,poly,"{'C': 0.1, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",0.5,0.5,0.6125,0.5,0.5,0.5225,0.04500000000000002,40,0.503125,0.503125,0.59375,0.503125,0.503125,0.52125,0.036249999999999984
31,0.005172061920166016,0.0004945887636656407,0.002011871337890625,0.00010577991555171329,0.1,2,0.01,sigmoid,"{'C': 0.1, 'degree': 2, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.775,0.7875,0.725,0.7125,0.85,0.77,0.04911720676097124,31,0.76875,0.75625,0.784375,0.78125,0.75625,0.769375,0.011924240017711842
32,0.0027879714965820313,0.00020409591821501764,0.0013694286346435547,0.0003827718445844213,0.1,2,0.1,linear,"{'C': 0.1, 'degree': 2, 'gamma': 0.1, 'kernel': 'linear'}",0.8375,0.85,0.75,0.7625,0.9125,0.8225,0.0598957427535547,1,0.825,0.809375,0.834375,0.834375,0.79375,0.819375,0.01573709789001772
33,0.0035714149475097657,7.717953731125684e-05,0.0019795894622802734,0.00020101556652170772,0.1,2,0.1,rbf,"{'C': 0.1, 'degree': 2, 'gamma': 0.1, 'kernel': 'rbf'}",0.7875,0.75,0.7625,0.7875,0.8375,0.7849999999999999,0.030000000000000013,22,0.81875,0.796875,0.825,0.815625,0.7875,0.8087499999999999,0.01416973006094329
34,0.003516864776611328,0.0003088071729745338,0.0015706539154052735,0.00017295274843137762,0.1,2,0.1,poly,"{'C': 0.1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",0.6375,0.5625,0.6375,0.6,0.6,0.6075,0.028062430400804545,39,0.621875,0.634375,0.6125,0.609375,0.61875,0.619375,0.008705242673240072
35,0.005135774612426758,0.0005351395376788893,0.002113628387451172,0.0005129305948578429,0.1,2,0.1,sigmoid,"{'C': 0.1, 'degree': 2, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.8,0.7625,0.725,0.7375,0.8375,0.7725000000000001,0.041382363393117134,29,0.790625,0.784375,0.796875,0.7875,0.765625,0.785,0.010532687216470448
36,0.002846431732177734,0.00029103213659330957,0.0011664390563964843,7.429156591023272e-05,0.1,2,1,linear,"{'C': 0.1, 'degree': 2, 'gamma': 1, 'kernel': 'linear'}",0.8375,0.85,0.75,0.7625,0.9125,0.8225,0.0598957427535547,1,0.825,0.809375,0.834375,0.834375,0.79375,0.819375,0.01573709789001772
37,0.0041636466979980465,0.00020823646306262448,0.0021120548248291016,8.778863463779851e-05,0.1,2,1,rbf,"{'C': 0.1, 'degree': 2, 'gamma': 1, 'kernel': 'rbf'}",0.8,0.7875,0.85,0.8,0.8,0.8074999999999999,0.021794494717703356,12,0.88125,0.871875,0.9,0.8875,0.846875,0.8774999999999998,0.01783167827210887
38,0.003917026519775391,0.00041790424224722237,0.001371288299560547,9.173070477772638e-05,0.1,2,1,poly,"{'C': 0.1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",0.6875,0.6625,0.775,0.6125,0.6625,0.6799999999999999,0.05338539126015656,36,0.76875,0.71875,0.73125,0.74375,0.728125,0.7381249999999999,0.017275343701356586
39,0.004334497451782227,0.0003545313099408517,0.001428365707397461,0.00021574007021987792,0.1,2,1,sigmoid,"{'C': 0.1, 'degree': 2, 'gamma': 1, 'kernel': 'sigmoid'}",0.6625,0.65,0.675,0.6875,0.7875,0.6925,0.04911720676097124,34,0.646875,0.646875,0.68125,0.6875,0.603125,0.653125,0.030168795965367926
