,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_bin,param_max_depth,param_max_leaves,param_n_estimators,param_scale_pos_weight,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall
485,0.022246551513671876,0.004339515239374772,0.011340665817260741,0.000761695285443924,0.2,0.5,10,3,1,50,4.5,"{'gamma': 0.2, 'learning_rate': 0.5, 'max_bin': 10, 'max_depth': 3, 'max_leaves': 1, 'n_estimators': 50, 'scale_pos_weight': 4.5}",0.358974358974359,0.34210526315789475,0.34210526315789475,0.34210526315789475,0.36363636363636365,0.3497853024168814,0.009520920820814502,865,0.3475409836065574,0.3517915309446254,0.3517915309446254,0.3517915309446254,0.3464052287581699,0.3498641610397207,0.002387703087291649,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
486,0.013639688491821289,0.0011896089328520846,0.011962795257568359,0.0008856711762748879,0.2,0.5,10,3,2,5,4.5,"{'gamma': 0.2, 'learning_rate': 0.5, 'max_bin': 10, 'max_depth': 3, 'max_leaves': 2, 'n_estimators': 5, 'scale_pos_weight': 4.5}",0.5641025641025641,0.5,0.5238095238095238,0.5454545454545454,0.4888888888888889,0.5244511044511044,0.027843570520923913,536,0.5542168674698795,0.5340909090909091,0.5508982035928144,0.5222222222222223,0.5363128491620112,0.5395482103075672,0.011699841126832792,0.7857142857142857,0.9230769230769231,0.8461538461538461,0.9230769230769231,0.7857142857142857,0.8527472527472527,0.06151883517485016,379,0.8679245283018868,0.8703703703703703,0.8518518518518519,0.8703703703703703,0.9056603773584906,0.873235499650594,0.017625308143713554
487,0.014289283752441406,0.002445064978044015,0.012103557586669922,0.002286595506913008,0.2,0.5,10,3,2,10,4.5,"{'gamma': 0.2, 'learning_rate': 0.5, 'max_bin': 10, 'max_depth': 3, 'max_leaves': 2, 'n_estimators': 10, 'scale_pos_weight': 4.5}",0.5641025641025641,0.5454545454545454,0.5238095238095238,0.5714285714285714,0.4888888888888889,0.5387368187368187,0.029882904237182803,281,0.5644171779141104,0.5833333333333334,0.6049382716049383,0.5853658536585366,0.5454545454545454,0.5767018363930928,0.020217043528966028,0.7857142857142857,0.9230769230769231,0.8461538461538461,0.9230769230769231,0.7857142857142857,0.8527472527472527,0.06151883517485016,379,0.8679245283018868,0.9074074074074074,0.9074074074074074,0.8888888888888888,0.9056603773584906,0.8954577218728164,0.015433149145236684
488,0.018320512771606446,0.0014571262752416402,0.01209273338317871,0.00266769240702672,0.2,0.5,10,3,2,20,4.5,"{'gamma': 0.2, 'learning_rate': 0.5, 'max_bin': 10, 'max_depth': 3, 'max_leaves': 2, 'n_estimators': 20, 'scale_pos_weight': 4.5}",0.5263157894736842,0.5128205128205128,0.5238095238095238,0.5454545454545454,0.5333333333333333,0.5283467409783198,0.010801091998229834,463,0.6025641025641025,0.6075949367088608,0.6451612903225806,0.6233766233766234,0.5868263473053892,0.6131046600555112,0.019824988772402404,0.7142857142857143,0.7692307692307693,0.8461538461538461,0.9230769230769231,0.8571428571428571,0.8219780219780219,0.07269378201556584,669,0.8867924528301887,0.8888888888888888,0.9259259259259259,0.8888888888888888,0.9245283018867925,0.903004891684137,0.018165886936172174
489,0.020676898956298827,0.0027478812021008645,0.012517547607421875,0.001714694914975458,0.2,0.5,10,3,2,30,4.5,"{'gamma': 0.2, 'learning_rate': 0.5, 'max_bin': 10, 'max_depth': 3, 'max_leaves': 2, 'n_estimators': 30, 'scale_pos_weight': 4.5}",0.55,0.5405405405405406,0.5,0.5454545454545454,0.5581395348837209,0.5388269241757614,0.02025935063886468,271,0.6351351351351351,0.6274509803921569,0.6623376623376623,0.6193548387096774,0.6060606060606061,0.6300678445270476,0.0187882013293724,0.7857142857142857,0.7692307692307693,0.7692307692307693,0.9230769230769231,0.8571428571428571,0.8208791208791208,0.06054935083057543,709,0.8867924528301887,0.8888888888888888,0.9444444444444444,0.8888888888888888,0.9433962264150944,0.910482180293501,0.027314880461052134
490,0.020225095748901366,0.003960147990266309,0.013038301467895507,0.002627909689416326,0.2,0.5,10,3,2,40,4.5,"{'gamma': 0.2, 'learning_rate': 0.5, 'max_bin': 10, 'max_depth': 3, 'max_leaves': 2, 'n_estimators': 40, 'scale_pos_weight': 4.5}",0.5789473684210527,0.5263157894736842,0.5,0.5714285714285714,0.6,0.5553383458646617,0.03664856329346251,57,0.6575342465753424,0.6357615894039735,0.68,0.6274509803921569,0.6415094339622641,0.6484512500667474,0.01859060016726948,0.7857142857142857,0.7692307692307693,0.7692307692307693,0.9230769230769231,0.8571428571428571,0.8208791208791208,0.06054935083057543,709,0.9056603773584906,0.8888888888888888,0.9444444444444444,0.8888888888888888,0.9622641509433962,0.9180293501048219,0.030019324645146762
491,0.023500776290893553,0.0034567226584609934,0.014684915542602539,0.002308002673199352,0.2,0.5,10,3,2,50,4.5,"{'gamma': 0.2, 'learning_rate': 0.5, 'max_bin': 10, 'max_depth': 3, 'max_leaves': 2, 'n_estimators': 50, 'scale_pos_weight': 4.5}",0.5789473684210527,0.5263157894736842,0.45,0.5365853658536586,0.55,0.528369704749679,0.042987198124462396,453,0.684931506849315,0.6621621621621622,0.6938775510204082,0.6756756756756757,0.6455696202531646,0.6724433031921452,0.017051258827440807,0.7857142857142857,0.7692307692307693,0.6923076923076923,0.8461538461538461,0.7857142857142857,0.7758241758241758,0.049316056422674455,859,0.9433962264150944,0.9074074074074074,0.9444444444444444,0.9259259259259259,0.9622641509433962,0.9366876310272538,0.018614389967999755
492,0.015204286575317383,0.002447954898266162,0.011614704132080078,0.0011641216243309601,0.2,0.5,10,3,3,5,4.5,"{'gamma': 0.2, 'learning_rate': 0.5, 'max_bin': 10, 'max_depth': 3, 'max_leaves': 3, 'n_estimators': 5, 'scale_pos_weight': 4.5}",0.6153846153846154,0.5,0.5,0.5,0.4888888888888889,0.5208547008547009,0.04746045410419876,641,0.6013071895424836,0.56353591160221,0.6086956521739131,0.6242038216560509,0.5524861878453039,0.5900457525639923,0.02740403244799875,0.8571428571428571,0.9230769230769231,0.8461538461538461,0.7692307692307693,0.7857142857142857,0.8362637362637363,0.054988993420645296,561,0.8679245283018868,0.9444444444444444,0.9074074074074074,0.9074074074074074,0.9433962264150944,0.9141160027952481,0.028287130247245895
493,0.01581997871398926,0.0013677435444957205,0.011720943450927734,0.0012413600420022022,0.2,0.5,10,3,3,10,4.5,"{'gamma': 0.2, 'learning_rate': 0.5, 'max_bin': 10, 'max_depth': 3, 'max_leaves': 3, 'n_estimators': 10, 'scale_pos_weight': 4.5}",0.5142857142857142,0.47368421052631576,0.47619047619047616,0.5365853658536586,0.5945945945945946,0.5190680722901518,0.04456941832504005,655,0.6442953020134228,0.6753246753246753,0.68,0.6369426751592356,0.620253164556962,0.6513631634108592,0.022890869961044197,0.6428571428571429,0.6923076923076923,0.7692307692307693,0.8461538461538461,0.7857142857142857,0.7472527472527473,0.07163958687035876,911,0.9056603773584906,0.9629629629629629,0.9444444444444444,0.9259259259259259,0.9245283018867925,0.9327044025157232,0.019481194665139267
494,0.016700887680053712,0.0020229613118226157,0.011985683441162109,0.001007297099185282,0.2,0.5,10,3,3,20,4.5,"{'gamma': 0.2, 'learning_rate': 0.5, 'max_bin': 10, 'max_depth': 3, 'max_leaves': 3, 'n_estimators': 20, 'scale_pos_weight': 4.5}",0.5294117647058824,0.5882352941176471,0.46153846153846156,0.5789473684210527,0.5945945945945946,0.5505454966755277,0.05007274130346075,103,0.7727272727272727,0.7162162162162162,0.7123287671232876,0.7172413793103448,0.6845637583892618,0.7206154787532767,0.028687186198554607,0.6428571428571429,0.7692307692307693,0.6923076923076923,0.8461538461538461,0.7857142857142857,0.7472527472527473,0.07163958687035876,911,0.9622641509433962,0.9814814814814815,0.9629629629629629,0.9629629629629629,0.9622641509433962,0.96638714185884,0.007553637521661325
495,0.018184089660644533,0.0021661121913358274,0.013290119171142579,0.0034481783067074265,0.2,0.5,10,3,3,30,4.5,"{'gamma': 0.2, 'learning_rate': 0.5, 'max_bin': 10, 'max_depth': 3, 'max_leaves': 3, 'n_estimators': 30, 'scale_pos_weight': 4.5}",0.4666666666666667,0.4666666666666667,0.47058823529411764,0.5789473684210527,0.5945945945945946,0.5154927063286197,0.058425985118844656,690,0.7761194029850746,0.7681159420289855,0.7714285714285715,0.7714285714285715,0.762589928057554,0.7699364831857514,0.004471406808795403,0.5,0.5384615384615384,0.6153846153846154,0.8461538461538461,0.7857142857142857,0.6571428571428571,0.1362194185287157,1049,0.9811320754716981,0.9814814814814815,1.0,1.0,1.0,0.992522711390636,0.009158437414622423
496,0.02123227119445801,0.004869420026280552,0.013038158416748047,0.0007108406974058751,0.2,0.5,10,3,3,40,4.5,"{'gamma': 0.2, 'learning_rate': 0.5, 'max_bin': 10, 'max_depth': 3, 'max_leaves': 3, 'n_estimators': 40, 'scale_pos_weight': 4.5}",0.5161290322580645,0.45161290322580644,0.45714285714285713,0.5405405405405406,0.6111111111111112,0.515307288855676,0.05874664328930429,698,0.8412698412698413,0.7969924812030075,0.8059701492537313,0.8120300751879699,0.803030303030303,0.8118585699889704,0.015483311560716518,0.5714285714285714,0.5384615384615384,0.6153846153846154,0.7692307692307693,0.7857142857142857,0.656043956043956,0.10223915032626821,1057,1.0,0.9814814814814815,1.0,1.0,1.0,0.9962962962962962,0.007407407407407395
497,0.02308182716369629,0.003992553583027246,0.01221623420715332,0.0012068130661227942,0.2,0.5,10,3,3,50,4.5,"{'gamma': 0.2, 'learning_rate': 0.5, 'max_bin': 10, 'max_depth': 3, 'max_leaves': 3, 'n_estimators': 50, 'scale_pos_weight': 4.5}",0.5161290322580645,0.4666666666666667,0.47058823529411764,0.5555555555555556,0.6060606060606061,0.5230000191670021,0.052776085869310464,603,0.8688524590163934,0.8307692307692308,0.84375,0.8571428571428571,0.8217054263565892,0.844443994657014,0.017097119787502904,0.5714285714285714,0.5384615384615384,0.6153846153846154,0.7692307692307693,0.7142857142857143,0.6417582417582418,0.086973006318283,1065,1.0,1.0,1.0,1.0,1.0,1.0,0.0
498,0.014498519897460937,0.0019094376175137512,0.011291790008544921,0.000618379579861536,0.2,0.5,10,3,4,5,4.5,"{'gamma': 0.2, 'learning_rate': 0.5, 'max_bin': 10, 'max_depth': 3, 'max_leaves': 4, 'n_estimators': 5, 'scale_pos_weight': 4.5}",0.5,0.42857142857142855,0.47368421052631576,0.4864864864864865,0.5,0.4777484251168461,0.02646323379909078,849,0.6012269938650306,0.620253164556962,0.6211180124223602,0.6410256410256411,0.5747126436781609,0.6116672911096309,0.022358854350414365,0.6428571428571429,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.7857142857142857,0.701098901098901,0.04644076177827568,991,0.9245283018867925,0.9074074074074074,0.9259259259259259,0.9259259259259259,0.9433962264150944,0.9254367575122293,0.011392136336723868
499,0.01572585105895996,0.0010101705669594277,0.013813257217407227,0.00240864500309167,0.2,0.5,10,3,4,10,4.5,"{'gamma': 0.2, 'learning_rate': 0.5, 'max_bin': 10, 'max_depth': 3, 'max_leaves': 4, 'n_estimators': 10, 'scale_pos_weight': 4.5}",0.5263157894736842,0.42105263157894735,0.47368421052631576,0.5,0.5142857142857142,0.4870676691729323,0.037378026329396775,825,0.6622516556291391,0.684931506849315,0.7074829931972789,0.6802721088435374,0.6891891891891891,0.6848254907416919,0.014578935760060533,0.7142857142857143,0.6153846153846154,0.6923076923076923,0.6923076923076923,0.6428571428571429,0.6714285714285715,0.03651263236447503,1024,0.9433962264150944,0.9259259259259259,0.9629629629629629,0.9259259259259259,0.9622641509433962,0.944095038434661,0.01641241519283261
500,0.016650867462158204,0.002404068687541258,0.012636137008666993,0.0018603819992905148,0.2,0.5,10,3,4,20,4.5,"{'gamma': 0.2, 'learning_rate': 0.5, 'max_bin': 10, 'max_depth': 3, 'max_leaves': 4, 'n_estimators': 20, 'scale_pos_weight': 4.5}",0.5625,0.4375,0.45714285714285713,0.5142857142857142,0.5454545454545454,0.5033766233766233,0.04870815968987568,778,0.7851851851851852,0.7883211678832117,0.7910447761194029,0.8307692307692308,0.7737226277372263,0.7938085975388514,0.019399218671626854,0.6428571428571429,0.5384615384615384,0.6153846153846154,0.6923076923076923,0.6428571428571429,0.6263736263736264,0.0504777322103554,1091,1.0,1.0,0.9814814814814815,1.0,1.0,0.9962962962962962,0.007407407407407395
